firstname,Total,J_1908,J_1909,J_1910,J_1911,J_1912,J_1913,J_1914,J_1915,J_1916,J_1917,J_1918,J_1919,J_1920,J_1921,J_1922,J_1923,J_1924,J_1925,J_1926,J_1927,J_1928,J_1929,J_1930,J_1931,J_1932,J_1933,J_1934,J_1935,J_1936,J_1937,J_1938,J_1939,J_1940,J_1941,J_1942,J_1943,J_1944,J_1945,J_1946,J_1947,J_1948,J_1949,J_1950,J_1951,J_1952,J_1953,J_1954,J_1955,J_1956,J_1957,J_1958,J_1959,J_1960,J_1961,J_1962,J_1963,J_1964,J_1965,J_1966,J_1967,J_1968,J_1969,J_1970,J_1971,J_1972,J_1973,J_1974,J_1975,J_1976,J_1977,J_1978,J_1979,J_1980,J_1981,J_1982,J_1983,J_1984,J_1985,J_1986,J_1987,J_1988,J_1989,J_1990,J_1991,J_1992,J_1993,J_1994,J_1995,J_1996,J_1997,J_1998,J_1999,J_2000,J_2001,J_2002,J_2003,J_2004,J_2005,J_2006,J_2007,J_2008,J_2009,J_2010,J_2011,J_2012,J_2013,J_2014
Henry,292,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,*,3,4,3,3,*,*,*,*,3,3,4,*,3,*,*,6,4,4,5,*,*,*,*,4,3,7,7,*,*,*,4,*,4,*,5,4,*,*,*,3,3,*,*,*,3,*,*,*,3,5,3,5,4,6,5,4,4,*,5,5,*,*,*,4,7,4,5,4,6,7,9,7,3,9,6,13
Filippo,290,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,5,*,3,4,*,3,3,4,4,3,5,3,6,*,4,6,4,6,3,4,4,*,4,*,*,*,*,6,*,7,4,6,3,5,6,5,7,6,6,6,11,4,6,9,4,5,3,5,*,4,5,4,6,*,4,3,*,*,*,*,*,5,3,3,4,*,*,*,*,*,*,3,*,*,*,*,*,*,3,6,*,*,*,*
Aleksandar,286,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6,*,*,3,*,7,*,6,7,6,3,5,6,*,6,3,7,9,7,4,11,7,5,8,12,11,9,8,8,5,8,6,10,7,4,10,11,3,3,5,3,4,4,3,*,*,3,5
Youssef,286,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,5,*,*,*,*,*,*,*,6,3,3,3,4,*,4,6,5,4,6,7,*,4,6,5,7,4,12,3,4,3,5,*,*,*,3,*,3,6,3,*,5,7,5,4,4,*,3,5,5,6,*,6,9,3,7,5,12,8,7,8,16
Guido,285,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,4,*,3,*,*,3,*,8,3,6,4,6,7,4,4,4,5,*,6,6,4,4,9,6,7,6,11,5,5,6,10,5,7,4,*,6,6,3,4,9,8,11,7,4,4,*,5,*,3,*,5,3,*,*,3,*,3,*,*,*,*,*,*,*,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sam,285,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,4,*,*,*,*,*,5,*,*,4,*,4,3,5,4,7,6,9,8,10,10,9,10,10,10,12,13,17,11,16,17,13,16,16
Stephen,285,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,3,4,3,*,7,5,*,7,13,10,4,5,9,9,5,8,9,6,10,6,14,6,6,13,6,3,8,5,8,9,5,*,*,3,3,7,*,3,6,4,*,3,*,*,4,*,4,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Alfonso,283,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,5,*,6,3,3,4,8,5,4,5,3,*,8,*,*,*,*,6,9,*,4,6,7,5,4,6,8,8,6,8,9,9,7,7,4,5,6,5,7,10,4,5,5,4,*,3,*,5,*,6,5,*,*,4,*,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Jean-Yves,281,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,3,*,*,3,3,*,4,9,7,4,10,4,7,9,3,12,19,10,12,11,12,6,11,19,6,11,8,4,*,3,5,5,*,7,*,6,6,3,*,3,*,*,4,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Marko,281,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,4,*,6,*,*,*,*,*,3,*,*,*,*,*,*,4,5,*,5,*,11,6,7,7,5,6,8,10,*,8,9,10,12,8,8,3,9,7,11,5,6,8,5,5,10,5,7,4,4,8
Riccardo,280,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,4,*,*,3,*,*,3,4,*,5,7,3,4,3,*,6,5,4,6,*,*,4,11,*,4,9,3,7,8,7,3,3,6,6,5,7,6,*,3,4,10,5,8,6,5,4,3,*,*,3,*,*,5,7,*,3,3,4,*,*,3,4,*,*,*,3,*,3
Vito,280,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,*,*,6,4,*,3,9,7,*,7,8,*,3,8,4,*,3,3,5,6,5,7,8,3,7,6,10,5,8,7,7,7,7,8,3,4,7,3,8,4,3,*,*,*,*,*,3,*,*,3,*,5,5,*,*,*,3,*,*,4,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,3,*,*,*
Ramon,279,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,3,4,*,4,*,4,*,3,*,4,4,5,6,3,3,5,5,5,4,4,8,8,4,5,9,4,7,8,5,6,3,5,10,3,*,5,10,6,6,4,8,8,5,4,*,*,3,*,*,4,5,*,*,*,*,4,*,3,*,*,*,*,*,4,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*
Flavien,278,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,3,*,*,3,4,4,6,10,5,5,13,5,4,6,*,5,13,16,7,13,5,6,7,8,5,6,7,4,5,9,5,5,8,9,6,6,*,*,*,7,6,7,*
Johannes,278,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,5,*,*,4,8,*,4,3,*,5,*,*,4,5,*,*,*,*,4,*,6,8,5,3,6,9,4,*,8,6,4,*,7,7,5,5,*,*,4,5,3,3,7,4,3,5,5,5,8,4,7,3,*,6,*,*,*,*,*,*,4,*,3,3,3,*,3,4,*,*,*,*,*,*,*,*,*,*,*,*,*
Jürg,278,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,3,3,3,4,7,4,8,9,8,5,15,16,8,9,10,9,10,6,12,11,7,12,8,5,12,8,10,6,5,5,*,3,4,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Erich,277,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,*,3,3,6,5,9,9,10,3,8,*,8,5,9,7,6,8,9,4,7,7,11,8,10,9,5,9,5,5,9,3,*,8,8,6,10,4,*,*,*,*,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Otto,277,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,6,7,7,9,8,7,3,14,7,16,9,6,7,16,6,7,6,7,9,8,4,7,8,11,*,7,5,*,*,*,7,7,*,4,*,4,*,*,*,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Vítor,275,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,5,6,*,6,5,4,4,10,6,8,14,8,7,6,11,11,12,10,10,6,4,7,8,11,10,8,11,5,9,5,3,6,5,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Augustin,274,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,*,*,*,*,*,*,*,*,*,3,3,*,3,*,5,*,3,*,5,4,5,5,4,11,4,5,10,5,3,6,4,5,5,5,9,6,15,9,8,14,15,6,18
Donato,274,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,3,3,*,*,7,4,8,3,6,4,3,*,6,3,10,10,8,5,8,3,5,4,9,8,9,8,6,6,3,10,*,6,4,6,*,5,7,4,6,3,3,8,*,*,*,*,*,*,4,3,*,*,3,3,3,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Leon,274,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,4,*,*,5,4,*,*,*,*,3,3,3,3,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,3,3,4,7,6,7,13,5,9,14,11,23,10,16,17,22,19
Gerardo,273,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,*,5,*,3,4,*,6,4,*,5,*,4,6,7,*,3,*,5,4,5,4,6,10,7,8,7,7,3,10,10,7,10,11,7,8,4,4,4,7,6,3,4,*,5,4,*,*,4,3,3,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*
Enrique,272,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,*,*,*,*,4,4,*,4,*,*,*,4,*,6,*,4,3,6,5,4,3,9,4,7,9,3,10,6,10,5,7,8,8,*,7,3,3,*,4,7,4,10,4,6,3,*,*,3,3,3,*,*,4,*,*,*,*,4,*,*,3,*,*,*,4,*,*,*,*,*,*,*,3,*,*,*,*,*,*
Philipp,272,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,3,*,*,3,*,*,6,4,3,7,6,11,*,3,5,10,4,9,4,6,6,5,8,7,13,4,7,12,7,6,*,5,5,7,6,5,3,*,*,4,*,5,*,*,6,*,8,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*,*,*,3
Vittorio,272,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,4,7,18,12,3,7,15,14,12,6,9,6,8,5,*,4,*,*,5,*,4,*,4,3,3,4,4,*,*,6,5,3,3,3,*,*,5,4,*,*,*,*,*,3,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,3,3,3,*,*,4,*,3,*,*,*,*,3,*,*,*,*,*,*,3
Maximilien,271,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,4,*,*,*,4,*,4,*,*,*,*,3,*,3,5,3,3,6,*,5,9,4,7,9,10,6,5,7,6,8,9,15,11,10,7,16,8,5,9,7,7,6,11,6,4,6
Tanguy,271,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,4,*,*,*,*,3,*,3,4,4,*,4,8,11,11,13,20,20,14,13,26,18,14,9,13,10,9,*,*,4,5,*,*,*,*
Patrik,270,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,7,7,16,14,17,9,7,16,13,9,16,12,4,12,8,8,11,7,11,5,3,3,*,*,*,*,3,*,*,3,*,*,*,*,4,*,5,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Steeve,269,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,3,8,7,12,13,9,5,13,11,19,12,12,11,10,8,7,8,*,6,4,13,11,9,*,4,3,8,5,3,3,*,*,*,*,*,*,3,*,*,*,*,3,*,*,*,*,*
Cristiano,267,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,*,3,*,*,*,3,*,3,3,*,*,3,*,4,8,5,*,5,7,5,*,4,7,4,*,11,12,9,4,5,10,4,6,4,4,6,*,6,3,3,5,10,8,16,14,12,9,5,*,3,3,6
Hassan,267,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,*,3,8,5,7,5,4,5,4,7,5,7,5,5,6,8,6,5,4,15,8,10,*,*,8,3,7,4,4,6,4,9,3,7,3,5,3,*,*,*,3,*,3,*,*,*,5,*,*,4,4,3,3,*,*,*,*,*,*,*,*
Matias,267,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,3,4,*,*,5,9,*,*,4,*,3,*,4,*,*,*,3,4,7,4,4,5,4,3,8,6,9,16,14,10,18,18,32,24,20
